,Date,Bexley,Hounslow
805,2002-03-15,26.5,32.3
806,2002-03-16,17.1,23.7
807,2002-03-17,13.2,14.7
808,2002-03-18,8.3,14.4
809,2002-03-19,16.3,21
810,2002-03-20,13.6,19.6
811,2002-03-21,14.7,20.7
812,2002-03-22,25.8,25.3
813,2002-03-23,11.3,20.2
814,2002-03-24,21.2,24.7
815,2002-03-25,37.3,35
816,2002-03-26,17.9,19.1
817,2002-03-27,21.1,27.7
818,2002-03-28,36.3,40
819,2002-03-29,37,39.3
820,2002-03-30,35.3,40.5
821,2002-03-31,20.1,23.4
822,2002-04-01,26.5,28.7
823,2002-04-02,43.9,NA
824,2002-04-03,49.3,NA
825,2002-04-04,54.2,NA
826,2002-04-05,50.7,58.1
827,2002-04-06,37.7,42
828,2002-04-07,16.2,20.7
829,2002-04-08,22.4,NA
830,2002-04-09,19.3,22.5
831,2002-04-10,36.3,NA
832,2002-04-11,35.7,40.6
833,2002-04-12,33.5,34.2
834,2002-04-13,10,14.3
835,2002-04-14,16,20.5
836,2002-04-15,24.3,25.6
837,2002-04-16,21.6,32.6
838,2002-04-17,18.5,26.8
839,2002-04-18,9.8,16.3
840,2002-04-19,19.6,23.2
841,2002-04-20,24.8,31.9
842,2002-04-21,15.4,23.6
843,2002-04-22,17.1,23
844,2002-04-23,20.1,25.7
845,2002-04-24,17.3,22.9
846,2002-04-25,17.3,21.9
847,2002-04-26,8.9,15.3
848,2002-04-27,8.3,15.3
849,2002-04-28,5.4,10.6
850,2002-04-29,11.5,21.3
851,2002-04-30,12.7,16.2
852,2002-05-01,12.4,17.1
853,2002-05-02,18.1,18.7
854,2002-05-03,18,18.7
855,2002-05-04,9.8,14.1
